numbest,year_film,category,film,winner
9303,2011,COSTUME DESIGN,Hugo,FALSE
9304,2011,COSTUME DESIGN,Jane Eyre,FALSE
9305,2011,COSTUME DESIGN,W.E.,FALSE
9306,2011,DIRECTING,The Artist,TRUE
9307,2011,DIRECTING,The Descendants,FALSE
9308,2011,DIRECTING,Hugo,FALSE
9309,2011,DIRECTING,Midnight in Paris,FALSE
9310,2011,DIRECTING,The Tree of Life,FALSE
9311,2011,DOCUMENTARY (Feature),Hell and Back Again,FALSE
9312,2011,DOCUMENTARY (Feature),If a Tree Falls: A Story of the Earth Liberation Front,FALSE
9313,2011,DOCUMENTARY (Feature),Paradise Lost 3: Purgatory,FALSE
9314,2011,DOCUMENTARY (Feature),Pina,FALSE
9315,2011,DOCUMENTARY (Feature),Undefeated,TRUE
9316,2011,DOCUMENTARY (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,FALSE
9317,2011,DOCUMENTARY (Short Subject),God Is the Bigger Elvis,FALSE
9318,2011,DOCUMENTARY (Short Subject),Incident in New Baghdad,FALSE
9319,2011,DOCUMENTARY (Short Subject),Saving Face,TRUE
9320,2011,DOCUMENTARY (Short Subject),The Tsunami and the Cherry Blossom,FALSE
9321,2011,FILM EDITING,The Artist,FALSE
9322,2011,FILM EDITING,The Descendants,FALSE
9323,2011,FILM EDITING,The Girl with the Dragon Tattoo,TRUE
9324,2011,FILM EDITING,Hugo,FALSE
9325,2011,FILM EDITING,Moneyball,FALSE
9326,2011,FOREIGN LANGUAGE FILM,Bullhead,FALSE
9327,2011,FOREIGN LANGUAGE FILM,Footnote,FALSE
9328,2011,FOREIGN LANGUAGE FILM,In Darkness,FALSE
9329,2011,FOREIGN LANGUAGE FILM,Monsieur Lazhar,FALSE
9330,2011,FOREIGN LANGUAGE FILM,A Separation,TRUE
9331,2011,MAKEUP,Albert Nobbs,FALSE
9332,2011,MAKEUP,Harry Potter and the Deathly Hallows Part 2,FALSE
9333,2011,MAKEUP,The Iron Lady,TRUE
9334,2011,MUSIC (Original Score),The Adventures of Tintin,FALSE
9335,2011,MUSIC (Original Score),The Artist,TRUE
9336,2011,MUSIC (Original Score),Hugo,FALSE
9337,2011,MUSIC (Original Score),Tinker Tailor Soldier Spy,FALSE
9338,2011,MUSIC (Original Score),War Horse,FALSE
9339,2011,MUSIC (Original Song),The Muppets,TRUE
9340,2011,MUSIC (Original Song),Rio,FALSE
9341,2011,BEST PICTURE,The Artist,TRUE
9342,2011,BEST PICTURE,The Descendants,FALSE
9343,2011,BEST PICTURE,Extremely Loud & Incredibly Close,FALSE
9344,2011,BEST PICTURE,The Help,FALSE
9345,2011,BEST PICTURE,Hugo,FALSE
9346,2011,BEST PICTURE,Midnight in Paris,FALSE
9347,2011,BEST PICTURE,Moneyball,FALSE
9348,2011,BEST PICTURE,The Tree of Life,FALSE
9349,2011,BEST PICTURE,War Horse,FALSE
9350,2011,SHORT FILM (Animated),Dimanche/Sunday,FALSE
9351,2011,SHORT FILM (Animated),The Fantastic Flying Books of Mr. Morris Lessmore,TRUE
9352,2011,SHORT FILM (Animated),La Luna,FALSE
9353,2011,SHORT FILM (Animated),A Morning Stroll,FALSE
9354,2011,SHORT FILM (Animated),Wild Life,FALSE
9355,2011,SHORT FILM (Live Action),Pentecost,FALSE
9356,2011,SHORT FILM (Live Action),Raju,FALSE
9357,2011,SHORT FILM (Live Action),The Shore,TRUE
9358,2011,SHORT FILM (Live Action),Time Freak,FALSE
9359,2011,SHORT FILM (Live Action),Tuba Atlantic,FALSE
9360,2011,SOUND EDITING,Drive,FALSE
9361,2011,SOUND EDITING,The Girl with the Dragon Tattoo,FALSE
9362,2011,SOUND EDITING,Hugo,TRUE
9363,2011,SOUND EDITING,Transformers: Dark of the Moon,FALSE
9364,2011,SOUND EDITING,War Horse,FALSE
9365,2011,SOUND MIXING,The Girl with the Dragon Tattoo,FALSE
9366,2011,SOUND MIXING,Hugo,TRUE
9367,2011,SOUND MIXING,Moneyball,FALSE
9368,2011,SOUND MIXING,Transformers: Dark of the Moon,FALSE
9369,2011,SOUND MIXING,War Horse,FALSE
9370,2011,VISUAL EFFECTS,Harry Potter and the Deathly Hallows Part 2,FALSE
9371,2011,VISUAL EFFECTS,Hugo,TRUE
9372,2011,VISUAL EFFECTS,Real Steel,FALSE
9373,2011,VISUAL EFFECTS,Rise of the Planet of the Apes,FALSE
9374,2011,VISUAL EFFECTS,Transformers: Dark of the Moon,FALSE
9375,2011,WRITING (Adapted Screenplay),The Descendants,TRUE
9376,2011,WRITING (Adapted Screenplay),Hugo,FALSE
9377,2011,WRITING (Adapted Screenplay),The Ides of March,FALSE
9378,2011,WRITING (Adapted Screenplay),Moneyball,FALSE
9379,2011,WRITING (Adapted Screenplay),Tinker Tailor Soldier Spy,FALSE
9380,2011,WRITING (Original Screenplay),The Artist,FALSE
9381,2011,WRITING (Original Screenplay),Bridesmaids,FALSE
9382,2011,WRITING (Original Screenplay),Margin Call,FALSE
9383,2011,WRITING (Original Screenplay),Midnight in Paris,TRUE
9384,2011,WRITING (Original Screenplay),A Separation,FALSE
9388,2012,ACTOR IN A LEADING ROLE,Silver Linings Playbook,FALSE
9389,2012,ACTOR IN A LEADING ROLE,Lincoln,TRUE
9390,2012,ACTOR IN A LEADING ROLE,Les Misérables,FALSE
9391,2012,ACTOR IN A LEADING ROLE,The Master,FALSE
9392,2012,ACTOR IN A LEADING ROLE,Flight,FALSE
9393,2012,ACTOR IN A SUPPORTING ROLE,Argo,FALSE
9394,2012,ACTOR IN A SUPPORTING ROLE,Silver Linings Playbook,FALSE
9395,2012,ACTOR IN A SUPPORTING ROLE,The Master,FALSE
9396,2012,ACTOR IN A SUPPORTING ROLE,Lincoln,FALSE
9397,2012,ACTOR IN A SUPPORTING ROLE,Django Unchained,TRUE
9398,2012,ACTRESS IN A LEADING ROLE,Zero Dark Thirty,FALSE
9399,2012,ACTRESS IN A LEADING ROLE,Silver Linings Playbook,TRUE
9400,2012,ACTRESS IN A LEADING ROLE,Amour,FALSE
9401,2012,ACTRESS IN A LEADING ROLE,Beasts of the Southern Wild,FALSE
9402,2012,ACTRESS IN A LEADING ROLE,The Impossible,FALSE
9403,2012,ACTRESS IN A SUPPORTING ROLE,The Master,FALSE
9404,2012,ACTRESS IN A SUPPORTING ROLE,Lincoln,FALSE
9405,2012,ACTRESS IN A SUPPORTING ROLE,Les Misérables,TRUE
9406,2012,ACTRESS IN A SUPPORTING ROLE,The Sessions,FALSE
9407,2012,ACTRESS IN A SUPPORTING ROLE,Silver Linings Playbook,FALSE
9408,2012,ANIMATED FEATURE FILM,Brave,TRUE
9409,2012,ANIMATED FEATURE FILM,Frankenweenie,FALSE
9410,2012,ANIMATED FEATURE FILM,ParaNorman,FALSE
9411,2012,ANIMATED FEATURE FILM,The Pirates! Band of Misfits,FALSE
9412,2012,ANIMATED FEATURE FILM,Wreck-It Ralph,FALSE
9413,2012,CINEMATOGRAPHY,Anna Karenina,FALSE
9414,2012,CINEMATOGRAPHY,Django Unchained,FALSE
9415,2012,CINEMATOGRAPHY,Life of Pi,TRUE
9416,2012,CINEMATOGRAPHY,Lincoln,FALSE
9417,2012,CINEMATOGRAPHY,Skyfall,FALSE
9418,2012,COSTUME DESIGN,Anna Karenina,TRUE
9419,2012,COSTUME DESIGN,Les Misérables,FALSE
9420,2012,COSTUME DESIGN,Lincoln,FALSE
9421,2012,COSTUME DESIGN,Mirror Mirror,FALSE
9422,2012,COSTUME DESIGN,Snow White and the Huntsman,FALSE
9423,2012,DIRECTING,Amour,FALSE
9424,2012,DIRECTING,Beasts of the Southern Wild,FALSE
9425,2012,DIRECTING,Life of Pi,TRUE
9426,2012,DIRECTING,Lincoln,FALSE
9427,2012,DIRECTING,Silver Linings Playbook,FALSE
9428,2012,DOCUMENTARY (Feature),5 Broken Cameras,FALSE
9429,2012,DOCUMENTARY (Feature),The Gatekeepers,FALSE
9430,2012,DOCUMENTARY (Feature),How to Survive a Plague,FALSE
9431,2012,DOCUMENTARY (Feature),The Invisible War,FALSE
9432,2012,DOCUMENTARY (Feature),Searching for Sugar Man,TRUE
9433,2012,DOCUMENTARY (Short Subject),Inocente,TRUE
9434,2012,DOCUMENTARY (Short Subject),Kings Point,FALSE
9435,2012,DOCUMENTARY (Short Subject),Mondays at Racine,FALSE
9436,2012,DOCUMENTARY (Short Subject),Open Heart,FALSE
9437,2012,DOCUMENTARY (Short Subject),Redemption,FALSE
9438,2012,FILM EDITING,Argo,TRUE
9439,2012,FILM EDITING,Life of Pi,FALSE
9440,2012,FILM EDITING,Lincoln,FALSE
9441,2012,FILM EDITING,Silver Linings Playbook,FALSE
9442,2012,FILM EDITING,Zero Dark Thirty,FALSE
9443,2012,FOREIGN LANGUAGE FILM,Amour,TRUE
9444,2012,FOREIGN LANGUAGE FILM,Kon-Tiki,FALSE
9445,2012,FOREIGN LANGUAGE FILM,No,FALSE
9446,2012,FOREIGN LANGUAGE FILM,A Royal Affair,FALSE
9447,2012,FOREIGN LANGUAGE FILM,War Witch,FALSE
9448,2012,MAKEUP AND HAIRSTYLING,Hitchcock,FALSE
9449,2012,MAKEUP AND HAIRSTYLING,The Hobbit: An Unexpected Journey,FALSE
9450,2012,MAKEUP AND HAIRSTYLING,Les Misérables,TRUE
9451,2012,MUSIC (Original Score),Anna Karenina,FALSE
9452,2012,MUSIC (Original Score),Argo,FALSE
9453,2012,MUSIC (Original Score),Life of Pi,TRUE
9454,2012,MUSIC (Original Score),Lincoln,FALSE
9455,2012,MUSIC (Original Score),Skyfall,FALSE
9456,2012,MUSIC (Original Song),Chasing Ice,FALSE
9457,2012,MUSIC (Original Song),Ted,FALSE
9458,2012,MUSIC (Original Song),Life of Pi,FALSE
9459,2012,MUSIC (Original Song),Skyfall,TRUE
9460,2012,MUSIC (Original Song),Les Misérables,FALSE
9461,2012,BEST PICTURE,Amour,FALSE
9462,2012,BEST PICTURE,Argo,TRUE
9463,2012,BEST PICTURE,Beasts of the Southern Wild,FALSE
9464,2012,BEST PICTURE,Django Unchained,FALSE
9465,2012,BEST PICTURE,Les Misérables,FALSE
9466,2012,BEST PICTURE,Life of Pi,FALSE
9467,2012,BEST PICTURE,Lincoln,FALSE
9468,2012,BEST PICTURE,Silver Linings Playbook,FALSE
9469,2012,BEST PICTURE,Zero Dark Thirty,FALSE
9470,2012,PRODUCTION DESIGN,Anna Karenina,FALSE
9471,2012,PRODUCTION DESIGN,The Hobbit: An Unexpected Journey,FALSE
9472,2012,PRODUCTION DESIGN,Les Misérables,FALSE
9473,2012,PRODUCTION DESIGN,Life of Pi,FALSE
9474,2012,PRODUCTION DESIGN,Lincoln,TRUE
9475,2012,SHORT FILM (Animated),Adam and Dog,FALSE
9476,2012,SHORT FILM (Animated),Fresh Guacamole,FALSE
9477,2012,SHORT FILM (Animated),Head over Heels,FALSE
9478,2012,SHORT FILM (Animated),"Maggie Simpson in ""The Longest Daycare""",FALSE
9479,2012,SHORT FILM (Animated),Paperman,TRUE
9480,2012,SHORT FILM (Live Action),Asad,FALSE
9481,2012,SHORT FILM (Live Action),Buzkashi Boys,FALSE
9482,2012,SHORT FILM (Live Action),Curfew,TRUE
9483,2012,SHORT FILM (Live Action),Death of a Shadow (Dood van een Schaduw),FALSE
9484,2012,SHORT FILM (Live Action),Henry,FALSE
9485,2012,SOUND EDITING,Argo,FALSE
9486,2012,SOUND EDITING,Django Unchained,FALSE
9487,2012,SOUND EDITING,Life of Pi,FALSE
9488,2012,SOUND EDITING,Skyfall,TRUE
9489,2012,SOUND EDITING,Zero Dark Thirty,TRUE
9490,2012,SOUND MIXING,Argo,FALSE
9491,2012,SOUND MIXING,Les Misérables,TRUE
9492,2012,SOUND MIXING,Life of Pi,FALSE
9493,2012,SOUND MIXING,Lincoln,FALSE
9494,2012,SOUND MIXING,Skyfall,FALSE
9495,2012,VISUAL EFFECTS,The Hobbit: An Unexpected Journey,FALSE
9496,2012,VISUAL EFFECTS,Life of Pi,TRUE
9497,2012,VISUAL EFFECTS,Marvel's The Avengers,FALSE
9498,2012,VISUAL EFFECTS,Prometheus,FALSE
9499,2012,VISUAL EFFECTS,Snow White and the Huntsman,FALSE
9500,2012,WRITING (Adapted Screenplay),Argo,TRUE
9501,2012,WRITING (Adapted Screenplay),Beasts of the Southern Wild,FALSE
9502,2012,WRITING (Adapted Screenplay),Life of Pi,FALSE
9503,2012,WRITING (Adapted Screenplay),Lincoln,FALSE
9504,2012,WRITING (Adapted Screenplay),Silver Linings Playbook,FALSE
9505,2012,WRITING (Original Screenplay),Amour,FALSE
9506,2012,WRITING (Original Screenplay),Django Unchained,TRUE
9507,2012,WRITING (Original Screenplay),Flight,FALSE
9508,2012,WRITING (Original Screenplay),Moonrise Kingdom,FALSE
9509,2012,WRITING (Original Screenplay),Zero Dark Thirty,FALSE
9514,2013,ACTOR IN A LEADING ROLE,American Hustle,FALSE
9515,2013,ACTOR IN A LEADING ROLE,Nebraska,FALSE
9516,2013,ACTOR IN A LEADING ROLE,The Wolf of Wall Street,FALSE
9517,2013,ACTOR IN A LEADING ROLE,12 Years a Slave,FALSE
9518,2013,ACTOR IN A LEADING ROLE,Dallas Buyers Club,TRUE
9519,2013,ACTOR IN A SUPPORTING ROLE,Captain Phillips,FALSE
9520,2013,ACTOR IN A SUPPORTING ROLE,American Hustle,FALSE
9521,2013,ACTOR IN A SUPPORTING ROLE,12 Years a Slave,FALSE
9522,2013,ACTOR IN A SUPPORTING ROLE,The Wolf of Wall Street,FALSE
9523,2013,ACTOR IN A SUPPORTING ROLE,Dallas Buyers Club,TRUE
9524,2013,ACTRESS IN A LEADING ROLE,American Hustle,FALSE
9525,2013,ACTRESS IN A LEADING ROLE,Blue Jasmine,TRUE
9526,2013,ACTRESS IN A LEADING ROLE,Gravity,FALSE
9527,2013,ACTRESS IN A LEADING ROLE,Philomena,FALSE
9528,2013,ACTRESS IN A LEADING ROLE,August: Osage County,FALSE
9529,2013,ACTRESS IN A SUPPORTING ROLE,Blue Jasmine,FALSE
9530,2013,ACTRESS IN A SUPPORTING ROLE,American Hustle,FALSE
9531,2013,ACTRESS IN A SUPPORTING ROLE,12 Years a Slave,TRUE
9532,2013,ACTRESS IN A SUPPORTING ROLE,August: Osage County,FALSE
9533,2013,ACTRESS IN A SUPPORTING ROLE,Nebraska,FALSE
9534,2013,ANIMATED FEATURE FILM,The Croods,FALSE
9535,2013,ANIMATED FEATURE FILM,Despicable Me 2,FALSE
9536,2013,ANIMATED FEATURE FILM,Ernest & Celestine,FALSE
9537,2013,ANIMATED FEATURE FILM,Frozen,TRUE
9538,2013,ANIMATED FEATURE FILM,The Wind Rises,FALSE
9539,2013,CINEMATOGRAPHY,The Grandmaster,FALSE
9540,2013,CINEMATOGRAPHY,Gravity,TRUE
9541,2013,CINEMATOGRAPHY,Inside Llewyn Davis,FALSE
9542,2013,CINEMATOGRAPHY,Nebraska,FALSE
9543,2013,CINEMATOGRAPHY,Prisoners,FALSE
9544,2013,COSTUME DESIGN,American Hustle,FALSE
9545,2013,COSTUME DESIGN,The Grandmaster,FALSE
9546,2013,COSTUME DESIGN,The Great Gatsby,TRUE
9547,2013,COSTUME DESIGN,The Invisible Woman,FALSE
9548,2013,COSTUME DESIGN,12 Years a Slave,FALSE
9549,2013,DIRECTING,American Hustle,FALSE
9550,2013,DIRECTING,Gravity,TRUE
9551,2013,DIRECTING,Nebraska,FALSE
9552,2013,DIRECTING,12 Years a Slave,FALSE
9553,2013,DIRECTING,The Wolf of Wall Street,FALSE
9554,2013,DOCUMENTARY (Feature),The Act of Killing,FALSE
9555,2013,DOCUMENTARY (Feature),Cutie and the Boxer,FALSE
9556,2013,DOCUMENTARY (Feature),Dirty Wars,FALSE
9557,2013,DOCUMENTARY (Feature),The Square,FALSE
9558,2013,DOCUMENTARY (Feature),20 Feet from Stardom,TRUE
9559,2013,DOCUMENTARY (Short Subject),CaveDigger,FALSE
9560,2013,DOCUMENTARY (Short Subject),Facing Fear,FALSE
9561,2013,DOCUMENTARY (Short Subject),Karama Has No Walls,FALSE
9562,2013,DOCUMENTARY (Short Subject),The Lady in Number 6: Music Saved My Life,TRUE
9563,2013,DOCUMENTARY (Short Subject),Prison Terminal: The Last Days of Private Jack Hall,FALSE
9564,2013,FILM EDITING,American Hustle,FALSE
9565,2013,FILM EDITING,Captain Phillips,FALSE
9566,2013,FILM EDITING,Dallas Buyers Club,FALSE
9567,2013,FILM EDITING,Gravity,TRUE
9568,2013,FILM EDITING,12 Years a Slave,FALSE
9569,2013,FOREIGN LANGUAGE FILM,The Broken Circle Breakdown,FALSE
9570,2013,FOREIGN LANGUAGE FILM,The Great Beauty,TRUE
9571,2013,FOREIGN LANGUAGE FILM,The Hunt,FALSE
9572,2013,FOREIGN LANGUAGE FILM,The Missing Picture,FALSE
9573,2013,FOREIGN LANGUAGE FILM,Omar,FALSE
9574,2013,MAKEUP AND HAIRSTYLING,Dallas Buyers Club,TRUE
9575,2013,MAKEUP AND HAIRSTYLING,Jackass Presents: Bad Grandpa,FALSE
9576,2013,MAKEUP AND HAIRSTYLING,The Lone Ranger,FALSE
9577,2013,MUSIC (Original Score),The Book Thief,FALSE
9578,2013,MUSIC (Original Score),Gravity,TRUE
9579,2013,MUSIC (Original Score),Her,FALSE
9580,2013,MUSIC (Original Score),Philomena,FALSE
9581,2013,MUSIC (Original Score),Saving Mr. Banks,FALSE
9582,2013,MUSIC (Original Song),Alone Yet Not Alone,FALSE
9583,2013,MUSIC (Original Song),Despicable Me 2,FALSE
9584,2013,MUSIC (Original Song),Frozen,TRUE
9585,2013,MUSIC (Original Song),Her,FALSE
9586,2013,MUSIC (Original Song),Mandela: Long Walk to Freedom,FALSE
9587,2013,BEST PICTURE,American Hustle,FALSE
9588,2013,BEST PICTURE,Captain Phillips,FALSE
9589,2013,BEST PICTURE,Dallas Buyers Club,FALSE
9590,2013,BEST PICTURE,Gravity,FALSE
9591,2013,BEST PICTURE,Her,FALSE
9592,2013,BEST PICTURE,Nebraska,FALSE
9593,2013,BEST PICTURE,Philomena,FALSE
9594,2013,BEST PICTURE,12 Years a Slave,TRUE
9595,2013,BEST PICTURE,The Wolf of Wall Street,FALSE
9596,2013,PRODUCTION DESIGN,American Hustle,FALSE
9597,2013,PRODUCTION DESIGN,Gravity,FALSE
9598,2013,PRODUCTION DESIGN,The Great Gatsby,TRUE
9599,2013,PRODUCTION DESIGN,Her,FALSE
9600,2013,PRODUCTION DESIGN,12 Years a Slave,FALSE
9601,2013,SHORT FILM (Animated),Feral,FALSE
9602,2013,SHORT FILM (Animated),Get a Horse!,FALSE
9603,2013,SHORT FILM (Animated),Mr. Hublot,TRUE
9604,2013,SHORT FILM (Animated),Possessions,FALSE
9605,2013,SHORT FILM (Animated),Room on the Broom,FALSE
9606,2013,SHORT FILM (Live Action),Aquel No Era Yo (That Wasn't Me),FALSE
9607,2013,SHORT FILM (Live Action),Avant Que De Tout Perdre (Just before Losing Everything),FALSE
9608,2013,SHORT FILM (Live Action),Helium,TRUE
9609,2013,SHORT FILM (Live Action),Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),FALSE
9610,2013,SHORT FILM (Live Action),The Voorman Problem,FALSE
9611,2013,SOUND EDITING,All Is Lost,FALSE
9612,2013,SOUND EDITING,Captain Phillips,FALSE
9613,2013,SOUND EDITING,Gravity,TRUE
9614,2013,SOUND EDITING,The Hobbit: The Desolation of Smaug,FALSE
9615,2013,SOUND EDITING,Lone Survivor,FALSE
9616,2013,SOUND MIXING,Captain Phillips,FALSE
9617,2013,SOUND MIXING,Gravity,TRUE
9618,2013,SOUND MIXING,The Hobbit: The Desolation of Smaug,FALSE
9619,2013,SOUND MIXING,Inside Llewyn Davis,FALSE
9620,2013,SOUND MIXING,Lone Survivor,FALSE
9621,2013,VISUAL EFFECTS,Gravity,TRUE
9622,2013,VISUAL EFFECTS,The Hobbit: The Desolation of Smaug,FALSE
9623,2013,VISUAL EFFECTS,Iron Man 3,FALSE
9624,2013,VISUAL EFFECTS,The Lone Ranger,FALSE
9625,2013,VISUAL EFFECTS,Star Trek Into Darkness,FALSE
9626,2013,WRITING (Adapted Screenplay),Before Midnight,FALSE
9627,2013,WRITING (Adapted Screenplay),Captain Phillips,FALSE
9628,2013,WRITING (Adapted Screenplay),Philomena,FALSE
9629,2013,WRITING (Adapted Screenplay),12 Years a Slave,TRUE
9630,2013,WRITING (Adapted Screenplay),The Wolf of Wall Street,FALSE
9631,2013,WRITING (Original Screenplay),American Hustle,FALSE
9632,2013,WRITING (Original Screenplay),Blue Jasmine,FALSE
9633,2013,WRITING (Original Screenplay),Dallas Buyers Club,FALSE
9634,2013,WRITING (Original Screenplay),Her,TRUE
9635,2013,WRITING (Original Screenplay),Nebraska,FALSE
9640,2014,ACTOR IN A LEADING ROLE,Foxcatcher,FALSE
9641,2014,ACTOR IN A LEADING ROLE,American Sniper,FALSE
9642,2014,ACTOR IN A LEADING ROLE,The Imitation Game,FALSE
9643,2014,ACTOR IN A LEADING ROLE,Birdman or (The Unexpected Virtue of Ignorance),FALSE
9644,2014,ACTOR IN A LEADING ROLE,The Theory of Everything,TRUE
9645,2014,ACTOR IN A SUPPORTING ROLE,The Judge,FALSE
9646,2014,ACTOR IN A SUPPORTING ROLE,Boyhood,FALSE
9647,2014,ACTOR IN A SUPPORTING ROLE,Birdman or (The Unexpected Virtue of Ignorance),FALSE
9648,2014,ACTOR IN A SUPPORTING ROLE,Foxcatcher,FALSE
9649,2014,ACTOR IN A SUPPORTING ROLE,Whiplash,TRUE
9650,2014,ACTRESS IN A LEADING ROLE,"Two Days, One Night",FALSE
9651,2014,ACTRESS IN A LEADING ROLE,The Theory of Everything,FALSE
9652,2014,ACTRESS IN A LEADING ROLE,Still Alice,TRUE
9653,2014,ACTRESS IN A LEADING ROLE,Gone Girl,FALSE
9654,2014,ACTRESS IN A LEADING ROLE,Wild,FALSE
9655,2014,ACTRESS IN A SUPPORTING ROLE,Boyhood,TRUE
9656,2014,ACTRESS IN A SUPPORTING ROLE,Wild,FALSE
9657,2014,ACTRESS IN A SUPPORTING ROLE,The Imitation Game,FALSE
9658,2014,ACTRESS IN A SUPPORTING ROLE,Birdman or (The Unexpected Virtue of Ignorance),FALSE
9659,2014,ACTRESS IN A SUPPORTING ROLE,Into the Woods,FALSE
9660,2014,ANIMATED FEATURE FILM,Big Hero 6,TRUE
9661,2014,ANIMATED FEATURE FILM,The Boxtrolls,FALSE
9662,2014,ANIMATED FEATURE FILM,How to Train Your Dragon 2,FALSE
9663,2014,ANIMATED FEATURE FILM,Song of the Sea,FALSE
9664,2014,ANIMATED FEATURE FILM,The Tale of the Princess Kaguya,FALSE
9665,2014,CINEMATOGRAPHY,Birdman or (The Unexpected Virtue of Ignorance),TRUE
9666,2014,CINEMATOGRAPHY,The Grand Budapest Hotel,FALSE
9667,2014,CINEMATOGRAPHY,Ida,FALSE
9668,2014,CINEMATOGRAPHY,Mr. Turner,FALSE
9669,2014,CINEMATOGRAPHY,Unbroken,FALSE
9670,2014,COSTUME DESIGN,The Grand Budapest Hotel,TRUE
9671,2014,COSTUME DESIGN,Inherent Vice,FALSE
9672,2014,COSTUME DESIGN,Into the Woods,FALSE
9673,2014,COSTUME DESIGN,Maleficent,FALSE
9674,2014,COSTUME DESIGN,Mr. Turner,FALSE
9675,2014,DIRECTING,Birdman or (The Unexpected Virtue of Ignorance),TRUE
9676,2014,DIRECTING,Boyhood,FALSE
9677,2014,DIRECTING,Foxcatcher,FALSE
9678,2014,DIRECTING,The Grand Budapest Hotel,FALSE
9679,2014,DIRECTING,The Imitation Game,FALSE
9680,2014,DOCUMENTARY (Feature),CitizenFour,TRUE
9681,2014,DOCUMENTARY (Feature),Finding Vivian Maier,FALSE
9682,2014,DOCUMENTARY (Feature),Last Days in Vietnam,FALSE
9683,2014,DOCUMENTARY (Feature),The Salt of the Earth,FALSE
9684,2014,DOCUMENTARY (Feature),Virunga,FALSE
9685,2014,DOCUMENTARY (Short Subject),Crisis Hotline: Veterans Press 1,TRUE
9686,2014,DOCUMENTARY (Short Subject),Joanna,FALSE
9687,2014,DOCUMENTARY (Short Subject),Our Curse,FALSE
9688,2014,DOCUMENTARY (Short Subject),The Reaper (La Parka),FALSE
9689,2014,DOCUMENTARY (Short Subject),White Earth,FALSE
9690,2014,FILM EDITING,American Sniper,FALSE
9691,2014,FILM EDITING,Boyhood,FALSE
9692,2014,FILM EDITING,The Grand Budapest Hotel,FALSE
9693,2014,FILM EDITING,The Imitation Game,FALSE
9694,2014,FILM EDITING,Whiplash,TRUE
9695,2014,FOREIGN LANGUAGE FILM,Ida,TRUE
9696,2014,FOREIGN LANGUAGE FILM,Leviathan,FALSE
9697,2014,FOREIGN LANGUAGE FILM,Tangerines,FALSE
9698,2014,FOREIGN LANGUAGE FILM,Timbuktu,FALSE
9699,2014,FOREIGN LANGUAGE FILM,Wild Tales,FALSE
9700,2014,MAKEUP AND HAIRSTYLING,Foxcatcher,FALSE
9701,2014,MAKEUP AND HAIRSTYLING,The Grand Budapest Hotel,TRUE
9702,2014,MAKEUP AND HAIRSTYLING,Guardians of the Galaxy,FALSE
9703,2014,MUSIC (Original Score),The Grand Budapest Hotel,TRUE
9704,2014,MUSIC (Original Score),The Imitation Game,FALSE
9705,2014,MUSIC (Original Score),Interstellar,FALSE
9706,2014,MUSIC (Original Score),Mr. Turner,FALSE
9707,2014,MUSIC (Original Score),The Theory of Everything,FALSE
9708,2014,MUSIC (Original Song),The Lego Movie,FALSE
9709,2014,MUSIC (Original Song),Selma,TRUE
9710,2014,MUSIC (Original Song),Beyond the Lights,FALSE
9711,2014,MUSIC (Original Song),Glen Campbell...I'll Be Me,FALSE
9712,2014,MUSIC (Original Song),Begin Again,FALSE
9713,2014,BEST PICTURE,American Sniper,FALSE
9714,2014,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),TRUE
9715,2014,BEST PICTURE,Boyhood,FALSE
9716,2014,BEST PICTURE,The Grand Budapest Hotel,FALSE
9717,2014,BEST PICTURE,The Imitation Game,FALSE
9718,2014,BEST PICTURE,Selma,FALSE
9719,2014,BEST PICTURE,The Theory of Everything,FALSE
9720,2014,BEST PICTURE,Whiplash,FALSE
9721,2014,PRODUCTION DESIGN,The Grand Budapest Hotel,TRUE
9722,2014,PRODUCTION DESIGN,The Imitation Game,FALSE
9723,2014,PRODUCTION DESIGN,Interstellar,FALSE
9724,2014,PRODUCTION DESIGN,Into the Woods,FALSE
9725,2014,PRODUCTION DESIGN,Mr. Turner,FALSE
9726,2014,SHORT FILM (Animated),The Bigger Picture,FALSE
9727,2014,SHORT FILM (Animated),The Dam Keeper,FALSE
9728,2014,SHORT FILM (Animated),Feast,TRUE
9729,2014,SHORT FILM (Animated),Me and My Moulton,FALSE
9730,2014,SHORT FILM (Animated),A Single Life,FALSE
9731,2014,SHORT FILM (Live Action),Aya,FALSE
9732,2014,SHORT FILM (Live Action),Boogaloo and Graham,FALSE
9733,2014,SHORT FILM (Live Action),Butter Lamp (La Lampe Au Beurre De Yak),FALSE
9734,2014,SHORT FILM (Live Action),Parvaneh,FALSE
9735,2014,SHORT FILM (Live Action),The Phone Call,TRUE
9736,2014,SOUND EDITING,American Sniper,TRUE
9737,2014,SOUND EDITING,Birdman or (The Unexpected Virtue of Ignorance),FALSE
9738,2014,SOUND EDITING,The Hobbit: The Battle of the Five Armies,FALSE
9739,2014,SOUND EDITING,Interstellar,FALSE
9740,2014,SOUND EDITING,Unbroken,FALSE
9741,2014,SOUND MIXING,American Sniper,FALSE
9742,2014,SOUND MIXING,Birdman or (The Unexpected Virtue of Ignorance),FALSE
9743,2014,SOUND MIXING,Interstellar,FALSE
